p1        p2        p3         n(p1,p2)  n(p2,p3)  n(p1,p3)    d         p
neopul    neocra    astbur          220         0         0    0.000    1.00000000
neosav    neocra    astbur          215         0         0    0.000    1.00000000
neowal    neocra    astbur          188         0         0    0.000    1.00000000
telvit    neocra    astbur          185         0         0    0.000    1.00000000
neohel    neogra    astbur          229         0         0    0.000    1.00000000
neomar    neogra    astbur          223         0         0    0.000    1.00000000
neooli    neogra    astbur          227         0         0    0.000    1.00000000
neopul    neogra    astbur          227         0         0    0.000    1.00000000
neosav    neogra    astbur          222         0         0    0.000    1.00000000
neowal    neogra    astbur          191         0         0    0.000    1.00000000
telvit    neogra    astbur          188         0         0    0.000    1.00000000
neomar    neohel    astbur          218         0         0    0.000    1.00000000
neooli    neohel    astbur          224         0         0    0.000    1.00000000
neopul    neohel    astbur          226         0         0    0.000    1.00000000
neosav    neohel    astbur          215         0         0    0.000    1.00000000
neowal    neohel    astbur          186         0         0    0.000    1.00000000
telvit    neohel    astbur          187         0         0    0.000    1.00000000
neooli    neomar    astbur          224         0         0    0.000    1.00000000
neopul    neomar    astbur          222         0         0    0.000    1.00000000
neosav    neomar    astbur          217         0         0    0.000    1.00000000
neowal    neomar    astbur          192         0         0    0.000    1.00000000
telvit    neomar    astbur          189         0         0    0.000    1.00000000
neopul    neooli    astbur          228         0         0    0.000    1.00000000
neosav    neooli    astbur          221         0         0    0.000    1.00000000
neowal    neooli    astbur          190         0         0    0.000    1.00000000
telvit    neooli    astbur          189         0         0    0.000    1.00000000
neosav    neopul    astbur          219         0         0    0.000    1.00000000
neowal    neopul    astbur          192         0         0    0.000    1.00000000
telvit    neopul    astbur          195         0         0    0.000    1.00000000
neowal    neosav    astbur          191         0         0    0.000    1.00000000
telvit    neosav    astbur          192         0         0    0.000    1.00000000
telvit    neowal    astbur          181         0         0    0.000    1.00000000
neobri    neochi    neocan          129        56        53    0.028    0.84819478
neocra    neobri    neocan          185        30        23    0.132    0.41010272
neogra    neobri    neocan          202        19        17    0.056    0.86793940
neohel    neobri    neocan          198        22        18    0.100    0.63582800
neomar    neobri    neocan          181        30        27    0.053    0.79136643
neooli    neobri    neocan          196        22        20    0.048    0.87761433
neopul    neobri    neocan          199        22        17    0.128    0.52239738
neosav    neobri    neocan          182        28        28    0.000    1.00000000
neobri    neowal    neocan          126        59        53    0.054    0.63679977
neobri    telvit    neocan          114        95        29    0.532    0.00000000
neocra    neobri    neochi          168        36        34    0.029    0.90497453
neogra    neobri    neochi          170        37        31    0.088    0.54461222
neohel    neobri    neochi          169        40        29    0.159    0.22840023
neobri    neomar    neochi          152        45        41    0.047    0.74653438
neobri    neooli    neochi          165        41        32    0.123    0.34918184
neobri    neopul    neochi          168        40        30    0.143    0.28197892
neobri    neosav    neochi          148        50        40    0.111    0.34283312
neowal    neochi    neobri          216        12        10    0.091    0.83181190
neobri    telvit    neochi           85        79        74    0.033    0.74652753
neogra    neobri    neocra           89        79        70    0.060    0.51235648
neohel    neobri    neocra          108        66        64    0.015    0.93015534
neomar    neocra    neobri          123        67        48    0.165    0.09281592
neobri    neooli    neocra           91        79        68    0.075    0.40958050
neobri    neopul    neocra          109        69        60    0.070    0.48135411
neocra    neobri    neosav           94        79        65    0.097    0.27861455
neocra    neobri    neowal          167        37        34    0.042    0.81258865
neocra    neobri    telvit          161        45        32    0.169    0.17106097
neohel    neobri    neogra           97        78        63    0.106    0.23828701
neogra    neobri    neomar           99        74        65    0.065    0.49756414
neooli    neobri    neogra           85        82        71    0.072    0.41892052
neopul    neobri    neogra          106        75        57    0.136    0.13866801
neogra    neobri    neosav          106        68        64    0.030    0.79412252
neogra    neobri    neowal          173        35        30    0.077    0.62014477
neogra    neobri    telvit          168        39        31    0.114    0.40296308
neobri    neohel    neomar          114        66        58    0.065    0.52976940
neobri    neohel    neooli           85        81        72    0.059    0.51792103
neobri    neopul    neohel           90        83        65    0.122    0.16207157
neobri    neohel    neosav          105        68        65    0.023    0.86240349
neohel    neobri    neowal          174        35        29    0.094    0.53230878
neohel    neobri    telvit          173        33        32    0.015    1.00000000
neobri    neooli    neomar          103        74        61    0.096    0.30168250
neobri    neopul    neomar          122        60        56    0.034    0.78073913
neomar    neobri    neosav           96        79        63    0.113    0.20795842
neobri    neomar    neowal          153        44        41    0.035    0.82842327
