Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate	theta	population_size	
2100	-5695.64781306239	-5682.158258583378	-13.48955447901286	0.5479477831224439	5.514730424993304	0.010565818785700936	0.010702432683811531	84410.81646456242	
2150	-5695.722745349391	-5682.4712968922995	-13.251448457090994	0.6023422215198837	5.220256505620071	0.010366364703948682	0.010737780336538064	86319.07651329227	
2200	-5697.577382452215	-5683.739891699906	-13.837490752308335	0.725797640751903	5.4126807886436925	0.010335532146764569	0.010737780336538064	86576.58022233052	
2250	-5699.190220695606	-5684.821789858544	-14.36843083706146	0.5701491413794034	6.060010472744568	0.0098258040654507	0.010912577779656029	92550.3374156983	
2300	-5700.999427022589	-5686.031593481607	-14.967833540981983	0.3465699931719734	6.060010472744568	0.008945976254787668	0.010499585096826842	97805.47140031922	
2350	-5699.707337426411	-5685.695852510401	-14.011484916010076	0.4951021768495436	5.86242850660484	0.009714917256384493	0.010536963381958803	90384.74118272489	
2400	-5699.936430641102	-5683.839461124265	-16.09696951683653	1.007526347780315	5.638498875812406	0.009993603437619231	0.010536963381958803	87864.23108650833	
2450	-5696.788496750708	-5683.06991639084	-13.718580359868042	0.5725788630579158	5.638498875812406	0.0096339902809436	0.010536963381958803	91143.98667878838	
2500	-5696.977895572184	-5683.4063601454345	-13.571535426749842	0.6503847397400281	5.13614273045803	0.01076823859129029	0.010790911928761658	83508.79794374871	
2550	-5695.317031566272	-5681.882874512689	-13.434157053582204	0.769907631887057	4.971499861937344	0.011857904511315794	0.011278567903580982	79261.95203670568	
2600	-5694.160930792387	-5680.87407308888	-13.286857703507183	0.6828150735490396	4.963398578528616	0.012544855991117296	0.010235069623485568	67989.81743813804	
2650	-5693.160176776523	-5679.639373847235	-13.520802929288115	0.7263688505375977	4.6759536700579645	0.013196762677383594	0.010458846678755067	66044.26993724803	
2700	-5692.947460262646	-5679.452175160669	-13.495285101977286	0.565283350650807	5.32856141377761	0.014329921684152161	0.013310679644804502	77406.09671024427	
2750	-5695.528654964546	-5681.884539389604	-13.644115574942646	0.6978088567752886	5.24228110203551	0.014597093435408609	0.013941015260161699	79587.84924004435	
2800	-5695.465874360974	-5681.939266239151	-13.526608121823704	0.6657544899653303	5.24228110203551	0.013820983585560168	0.013538045005364194	81627.36104341866	
2850	-5695.274404198322	-5680.321399007014	-14.953005191308247	0.3398260189026841	5.39439444647415	0.012932927030106164	0.012128501304904095	78150.01505247374	
2900	-5695.592144152613	-5680.053219763728	-15.53892438888573	0.32533700162204804	4.95350246528652	0.01321934656735043	0.01152505644477223	72652.71135032995	
2950	-5696.202615464499	-5680.573522808619	-15.62909265588068	0.3178971812331333	5.011890249035559	0.01333772118132495	0.0125574822761374	78458.44444626707	
3000	-5694.36235786012	-5680.369804649432	-13.992553210688053	0.4428390157515692	5.011890249035559	0.012033360274151044	0.011673627398509988	80842.11401023618	
3050	-5691.220058994019	-5677.993080818395	-13.226978175623685	0.6135589765876006	5.133973751420869	0.012308448037964366	0.011442353551384633	77469.5119705023	
3100	-5691.573967845861	-5678.139500350922	-13.434467494938422	0.6323991275544595	4.74494425578968	0.01294329431918797	0.011248575483063709	72422.15676620093	
3150	-5692.974655389904	-5679.289440908422	-13.685214481481857	0.7614919540264887	4.515775308061348	0.01294329431918797	0.010589025129770854	68175.74715164157	
3200	-5693.106987366589	-5679.599974717525	-13.50701264906499	0.825516852443463	5.076110427254543	0.01118710835968458	0.010589025129770854	78878.18124603537	
3250	-5693.670445307268	-5679.301630505395	-14.368814801872588	0.7431342889251498	5.96232939885438	0.01118710835968458	0.012202941189328253	90900.32321864684	
3300	-5696.837743649306	-5679.33100031448	-17.50674333482617	1.1361993118672737	5.9446101575428925	0.01118710835968458	0.010991593984430713	81876.93690982104	
3350	-5693.252999125621	-5678.1614653094875	-15.091533816132758	0.9941825040449965	5.554437000085976	0.01118710835968458	0.011352232706769464	84563.35290717267	
3400	-5691.641828300569	-5678.196115038385	-13.445713262183505	0.6705378748513664	5.574684015538165	0.011564248522732502	0.011156321545033345	80393.7636119252	
3450	-5693.806946655205	-5679.802218391872	-14.004728263332963	0.41090829796956957	5.181474475703827	0.012819425706438882	0.011764577106188933	76476.23598484002	
3500	-5695.121282056449	-5680.930802175597	-14.190479880851893	0.4132734308762506	5.02418774520799	0.013851834731839126	0.011800173877407333	70990.43860644715	
3550	-5695.407206901511	-5682.041833063651	-13.365373837860169	0.5927694955600009	5.02418774520799	0.015882338250480906	0.013339927391952876	69993.5109342236	
3600	-5695.877908447729	-5682.556719300708	-13.32118914702112	0.7149250288867778	5.02418774520799	0.015537082512709872	0.014225612836192445	76299.24957788033	
3650	-5694.236448917675	-5680.552666538373	-13.683782379302098	0.8656850814541253	4.869064098376684	0.015635004749845242	0.013611252326851467	72546.89367771694	
3700	-5695.6813714983655	-5681.902160143956	-13.779211354409313	0.8821243608104993	4.93125038773994	0.016168213047503346	0.01352555651531331	69712.69529278568	
3750	-5696.444954579297	-5682.703941924377	-13.74101265491937	0.7826770859086271	4.589438663864926	0.017931260053732644	0.013643098926009633	63404.63007585101	
3800	-5696.757697659287	-5683.176447371332	-13.58125028795489	0.682335115024374	4.711152610757275	0.017816338357940272	0.014472169045250711	67691.46739777409	
3850	-5697.086471652001	-5683.21884830413	-13.867623347871326	0.7876476288075226	4.492656752382129	0.017614556387572537	0.014575754466514055	68956.95689502564	
3900	-5699.352634535995	-5685.497920527075	-13.854714008920036	0.7800972365127492	4.492656752382129	0.017614556387572537	0.013791870256094952	65248.45111354145	
3950	-5701.838951441991	-5688.132900835526	-13.706050606465059	0.810935751477243	4.86602123065041	0.01709172914638955	0.013727283124381578	66929.46340111976	
4000	-5702.140018324436	-5687.328098189106	-14.811920135330073	1.0623501500634827	4.4128004787779584	0.015568699271053484	0.013148976410496133	70381.47600713886	
4050	-5701.925763999902	-5685.886334328675	-16.03942967122741	1.0470460659070169	5.6318129913064086	0.014676666392000067	0.014594173300327319	82864.94193419316	
4100	-5698.760851121185	-5684.636083602414	-14.124767518770582	0.46636133614738445	5.909395336578855	0.014167459658016442	0.013671058847286774	80413.49200496465	
4150	-5697.17776793163	-5683.492335810375	-13.685432121255072	0.728488568200027	5.528659697719038	0.012855603510375298	0.013671058847286774	88619.32487425522	
4200	-5696.675771618132	-5682.376670966022	-14.299100652109281	0.6064362341167885	6.13590005404518	0.012268353120012914	0.013679231080159246	92916.784526447	
4250	-5697.601323858029	-5683.3057069171355	-14.295616940893217	0.4637906358182656	6.13590005404518	0.01187218668073114	0.012685658918259419	89043.26318453591	
4300	-5697.0951648370665	-5683.013691271373	-14.081473565693056	0.8720274056495733	5.389973914168739	0.012161296856792327	0.012204076244446005	83626.4722158982	
4350	-5703.008500061118	-5688.926720233111	-14.081779828006658	0.6236311515859395	5.958320378014674	0.012447278762873614	0.01237410574510267	82843.44702186904	
4400	-5698.214752067202	-5684.884827651632	-13.329924415570915	0.6983783975528179	5.10920417800647	0.012447278762873614	0.011969720624316895	80136.12755811651	
4450	-5698.737498657373	-5684.285691788664	-14.45180686870922	0.9351120221107067	5.245858708426265	0.01372605362201496	0.012975905433471943	78779.04914017026	
4500	-5699.625616793411	-5684.623398179901	-15.002218613509408	0.8912051284362931	5.500402838904569	0.013682374766938227	0.013267229824360407	80804.86788265144	
4550	-5699.893732999714	-5685.4522901704695	-14.44144282924444	0.7020584305036744	5.783325682078809	0.0130740797447332	0.014396972090937127	91765.363044238	
4600	-5699.404514553335	-5684.823177632583	-14.581336920751333	0.6368974319653734	6.152207691627284	0.01286810786656137	0.014296363527949356	92582.65781443674	
4650	-5700.3601024248	-5684.987064342243	-15.373038082556949	0.7169103475539185	6.293535920287543	0.012188464524672529	0.01276975231560234	87307.63617895385	
4700	-5699.681388534958	-5685.012445020147	-14.668943514810554	0.45816322051854524	6.293535920287543	0.01135714995670523	0.012186873132150663	89421.44507064151	
4750	-5695.761696706911	-5682.249045273045	-13.512651433865038	0.540172628411966	5.301358552314573	0.012504937485965296	0.011860002799314298	79035.46640826987	
4800	-5697.038891393283	-5683.578063482013	-13.46082791126969	0.5980279371891148	5.244433384548923	0.012987669022997415	0.011679750000884148	74941.27686424895	
4850	-5696.671352157471	-5682.855900866248	-13.815451291223203	0.6940918421859857	5.590997218098734	0.0118986845105571	0.012212496238879664	85531.13741302057	
4900	-5699.822782436379	-5683.802280007649	-16.02050242873043	0.9767378492778276	5.775572295166262	0.0118986845105571	0.012212496238879664	85531.13741302057	
4950	-5696.952286350614	-5683.32310124598	-13.629185104633876	0.6045214431769154	5.62245556864227	0.011683495018871202	0.0118133382569583	84259.44917650479	
5000	-5698.756844733538	-5684.939237957226	-13.817606776311953	0.4723503473122581	5.583546623919798	0.011683495018871202	0.012024625611427177	85766.47079209445	
5050	-5699.091683529561	-5685.534275694532	-13.55740783502916	0.6117516536091852	4.999746729846737	0.010595360795481451	0.01150887822767347	90518.21869515447	
5100	-5699.811807851252	-5686.63527119632	-13.176536654931757	0.5815491473039129	5.932992832212791	0.00921762172916	0.010616877177645236	95983.51839551955	
5150	-5698.08459063743	-5683.276878791746	-14.807711845684349	0.40816003630821784	6.638462496828808	0.009207848269040251	0.010714354312933137	96967.59039928872	
5200	-5699.09392196931	-5682.665823937477	-16.428098031832256	0.40274175856155103	7.326587368899717	0.00870846223813172	0.010966243891581778	104938.57958415739	
5250	-5697.598581309437	-5682.411217195113	-15.18736411432382	0.3549225042983278	6.598552771834759	0.00988855915545057	0.010966243891581778	92415.24910412241	
5300	-5694.548043290109	-5680.849174944421	-13.698868345687913	0.40936206087476157	5.385293853654107	0.012220206890634213	0.011481525329893796	78296.03754290393	
5350	-5693.052431585237	-5680.184610746757	-12.867820838480231	0.6479168739826281	5.065262150872411	0.01230614608563624	0.010838846845752845	73397.24645397562	
5400	-5691.952103816371	-5678.953822650713	-12.998281165658419	0.6195893818453845	4.961504290190285	0.012893547137601189	0.010932778526349106	70660.53022281501	
5450	-5693.610171955486	-5680.539132347847	-13.071039607639682	0.6228618944553552	5.4761752294862625	0.012286509845718817	0.010638179161909228	72153.51969688974	
5500	-5693.694021102562	-5680.521561271236	-13.172459831326163	0.7095063870940352	5.225802040649814	0.013529640990249912	0.011895638997611053	73268.99882378994	
5550	-5696.681889431139	-5682.532594655333	-14.14929477580593	0.4011348275884217	5.843352698632127	0.01152426724928779	0.01132291630950939	81877.34098097181	
5600	-5693.7001495593495	-5680.104051521157	-13.596098038192636	0.7314731641068608	5.791206846743549	0.010779292129618536	0.010745658113336092	83073.3130410451	
5650	-5695.464412563508	-5681.342638633475	-14.121773930032575	0.3817580566343298	5.812452921497995	0.010779292129618536	0.0102688181418769	79386.92400821793	
5700	-5695.970634646002	-5680.632673960867	-15.337960685134863	0.5914686426315869	6.76894363845866	0.010451041398172128	0.011601056411283318	92503.1931372275	
5750	-5694.461515146159	-5679.423944543984	-15.037570602175201	0.49223667793080783	6.754550795814285	0.009480679531516923	0.010735598922658934	94363.83126134086	
5800	-5695.0232678455	-5680.106278645497	-14.916989200003293	0.5255456200383963	6.754550795814285	0.008100967494695776	0.009476019609817641	97478.27050721821	
5850	-5694.570485454335	-5680.585483402072	-13.985002052262972	0.3967616855563829	6.017137348610062	0.008824602585880276	0.009493320646627548	89648.23584819981	
5900	-5694.118884141228	-5680.940437362195	-13.17844677903259	0.501388326546574	5.637649097751543	0.010238170221458221	0.009706269916730719	79003.94395660101	
5950	-5695.40855803084	-5682.512329724778	-12.89622830606205	0.6272814733359149	5.368241902435234	0.010589940289339976	0.00957160145998429	75319.91996230639	
6000	-5696.849829289028	-5683.227469929739	-13.622359359289899	0.582666563412663	6.094194350727026	0.008537519736619429	0.00878203187831926	85719.97634405713	
6050	-5695.4858967844475	-5681.27258515024	-14.213311634207862	0.6438844825891801	6.275008410349408	0.00875109387473061	0.009132594930220022	86966.22255600736	
6100	-5696.674338456639	-5682.961027973681	-13.713310482958128	0.8355387220450886	5.667889725392868	0.008076585163840105	0.008122491112039444	83806.98594835254	
6150	-5695.443465191198	-5680.911139561651	-14.53232562954648	0.7340210959302723	6.27267685190601	0.008145115904858882	0.008783389461683704	89863.5612257327	
6200	-5695.059780211833	-5680.994863511813	-14.064916700020222	0.4739609708150291	6.27267685190601	0.009116227710227114	0.010282616969301314	93995.54011583903	
6250	-5695.005374965983	-5680.463110488667	-14.542264477315886	0.38665299903673905	6.268590805311228	0.009630287476270913	0.010557511149549286	91356.83622774378	
6300	-5695.880635093087	-5680.7883209471875	-15.092314145899469	0.7262639491955403	6.44377151783143	0.009557248211240404	0.01085825609177381	94677.32283548654	
6350	-5695.045853174864	-5681.277376328475	-13.76847684638894	0.697999986086308	5.937423569528196	0.009883463670978976	0.010190104144693143	85918.8007018781	
6400	-5699.277525948751	-5681.168981616273	-18.108544332477347	0.9852165748590054	6.674692647315689	0.00830374084299155	0.00953322385669216	95671.9792214524	
6450	-5695.711487746535	-5681.4355756949735	-14.275912051561427	0.6668179769624328	6.2958337418938335	0.00785929476972643	0.009152026992104387	97040.37554952865	
6500	-5699.103950671458	-5680.954380226588	-18.149570444869692	0.9117942001031326	6.88324017097596	0.008031671333308846	0.009370687610510235	97226.41798982566	
6550	-5696.431161134563	-5680.599946842619	-15.831214291944137	0.7821023036152037	6.541894584238003	0.010088207264949576	0.01056718620827797	87289.92451903518	
6600	-5694.456847377447	-5679.018365011077	-15.438482366370357	0.7485841838245442	6.469189182299283	0.010088207264949576	0.011553966361270889	95441.19235646175	
6650	-5692.77849655737	-5678.57014925617	-14.208347301199844	0.5797846544219696	6.181853918472331	0.010253700335910092	0.011746720755900674	95467.33025704052	
6700	-5694.610451299805	-5680.305259722127	-14.305191577678343	0.6983953123046411	6.00983418156719	0.010500251353010397	0.010931965860584505	86759.55693075174	
6750	-5698.334268913075	-5683.283367413069	-15.050901500005986	0.9576436607615718	5.658300548559106	0.009794094697721929	0.010318124796759443	87792.05833728393	
6800	-5697.676350750691	-5683.43943297303	-14.236917777660699	0.7137446699259692	6.066986185641834	0.009141981656456476	0.010320345704217932	94074.65919354987	
6850	-5696.466242466024	-5683.360992363883	-13.1052501021403	0.5720830043284082	5.107442656868515	0.011278082493681398	0.010320345704217932	76256.65171066651	
6900	-5695.865137641438	-5682.109167872151	-13.755969769286446	0.7261829659849348	5.7494840186445995	0.010322943534146239	0.011053608969979152	89231.72715075579	
6950	-5699.617545290443	-5682.940622459624	-16.676922830818793	1.072147597746181	5.94372576488492	0.010264717465906929	0.011053608969979152	89737.88941498256	
7000	-5697.899780988716	-5684.375401474296	-13.524379514419762	0.6444871484760698	5.8081395687880075	0.010330758669821529	0.010752696122398424	86736.90276179384	
7050	-5702.480100928867	-5687.54273017712	-14.937370751746737	0.919549518953811	5.8081395687880075	0.009457810223034265	0.009107606912547996	80247.67095282656	
7100	-5700.70565307644	-5686.6453885895835	-14.060264486856557	0.7755302283939314	5.898573614675359	0.008199585316354657	0.009936671274211719	100987.53870711323	
7150	-5698.846722751032	-5684.833144535283	-14.013578215748865	0.754986436097079	5.8862525985989045	0.008683253689960608	0.008712795529594886	83616.84687070348	
7200	-5698.556405810474	-5684.980791361209	-13.575614449264618	0.43495554899271444	5.417451750024112	0.008196280594303421	0.00852066748639837	86631.444067451	
7250	-5702.192982618913	-5688.5301089807535	-13.66287363815956	0.5483931488152919	6.030643204493579	0.006583475761878909	0.00783043960553074	99117.3443020311	
7300	-5702.243930687866	-5688.427101982438	-13.816828705427453	0.6018642827371118	6.030643204493579	0.007143491519586217	0.008724322848825994	101774.72767699811	
7350	-5702.854152734435	-5686.462518942133	-16.391633792301775	0.2726040553395872	6.531995966126443	0.007609189216058946	0.009300257675903029	101853.35795780469	
7400	-5706.948176144676	-5690.02834430759	-16.919831837086	0.22191114037682547	5.715773002979665	0.007768639800643227	0.009300257675903029	99762.8275837617	
7450	-5701.705322024682	-5688.210966672677	-13.494355352003996	0.6102453475965388	5.715773002979665	0.007768639800643227	0.007825996084084103	83948.58779349556	
7500	-5701.5045870806325	-5686.779514304977	-14.72507277565527	0.6828860941909977	6.256258078417067	0.006781295231861033	0.008143942056426748	100078.4975187274	
7550	-5701.063371040529	-5685.315980547892	-15.747390492637509	0.6885753990267195	6.651020349461847	0.006258073590412965	0.008035185156624146	106997.58533964856	
7600	-5701.866366018883	-5686.058472872696	-15.807893146187102	0.6364545523593211	6.778649800259014	0.006783920804030812	0.0082668717446724	101549.826217513	
7650	-5702.108945390114	-5685.671633066841	-16.437312323272742	0.7824089740827571	6.642578796917449	0.006373786344833873	0.0078233154671659	102285.03440903316	
7700	-5699.661306994339	-5683.518697263827	-16.142609730512195	0.7181199281231253	6.783049688014008	0.006469262828362899	0.008106430399934951	104422.38699895208	
7750	-5700.2405814482645	-5685.090004311094	-15.150577137170373	0.5138053707909787	6.783049688014008	0.006427566041331062	0.008106430399934951	105099.79396825482	
7800	-5700.044126137581	-5683.773332244986	-16.27079389259476	0.41503326187132566	7.19059795788255	0.006515660809641387	0.008632444111332033	110406.35226845024	
7850	-5700.93782141361	-5683.670291334636	-17.267530078973923	0.6632211790795057	7.223391391793881	0.006515660809641387	0.008632444111332033	110406.35226845024	
7900	-5701.589984569771	-5683.151162451378	-18.438822118393723	0.6373791765036692	7.4843992889167845	0.006827202089875275	0.009498387759987544	115938.0230601546	
7950	-5705.118560473248	-5683.8004666679935	-21.318093805255007	0.3015418925624711	8.602822090314213	0.006596953883422042	0.011375443170120252	143695.65321537285	
8000	-5707.209098569077	-5682.130267354523	-25.078831214553173	0.2578779935195743	9.609026536293367	0.006048301455976154	0.010796764290915164	148757.52541852318	
8050	-5710.900642150514	-5685.32406185212	-25.57658029839309	0.31802966385087095	9.80409557448767	0.006261808341908085	0.010796764290915164	143685.38742310015	
8100	-5712.10698561479	-5687.836339900032	-24.270645714757674	0.26332334509136984	9.464816559695914	0.005898919484406379	0.01087413235695916	153617.57332147312	
8150	-5710.173146947949	-5686.644629969748	-23.528516978201214	0.3173106867644481	9.351890627634448	0.005898919484406379	0.01008589641933016	142482.25806426542	
8200	-5708.4817766513415	-5685.583232296942	-22.89854435439952	0.34428243373928885	9.199601712673365	0.005653142841755155	0.009698525154496606	142966.5678305159	
8250	-5708.339489945544	-5686.457185783668	-21.88230416187632	0.3889961175150943	8.91977046366573	0.005653142841755155	0.009654668949165241	142320.08075599524	
8300	-5708.383100555803	-5685.2866475591045	-23.096452996698968	0.46999338196934265	9.073318789075442	0.007047376463861235	0.011764689806968771	139114.29625972395	
8350	-5704.687020358129	-5686.185268875122	-18.501751483006508	0.5504186283350535	7.763457162083706	0.007789302669170262	0.011950125857861472	127847.62176850112	
8400	-5703.462371997743	-5684.9055038455135	-18.55686815222908	0.31723294524677464	7.763457162083706	0.008650914388287486	0.012462762642087512	120052.45999352493	
8450	-5700.806070758279	-5686.022027206505	-14.784043551773692	0.5463802989903213	6.644114414675548	0.008268864741353429	0.010571974365130448	106543.99259367627	
8500	-5702.089078916399	-5686.769095091251	-15.319983825147979	0.733465619584091	6.533642328853489	0.008365298467526958	0.009439326272921027	94032.57107883747	
8550	-5696.64534803067	-5682.431204097315	-14.214143933355887	0.5691627112081703	6.303607417751375	0.009148421313565391	0.01038444723528005	94592.34257792894	
8600	-5698.890593491643	-5682.757199537725	-16.13339395391854	0.8740108674459263	6.387440990630006	0.00831517556228165	0.010253457271857754	102758.47650537807	
8650	-5695.202282657744	-5681.922156904767	-13.280125752977067	0.7704302002391558	5.279573592758724	0.010763723924464785	0.010253457271857754	79382.82128480916	
8700	-5694.377510122842	-5680.732982728255	-13.644527394587408	0.7462945828130997	5.598432273448135	0.011469128523442057	0.01149252704055237	83503.34419526359	
8750	-5694.7509457123315	-5681.452508396611	-13.298437315720957	0.5762862562906439	5.598432273448135	0.01166673342507438	0.011962946224372708	85449.12693572036	
8800	-5696.030968733183	-5681.680212125002	-14.350756608181158	0.5229287713371678	6.31378968917958	0.01068846225078602	0.011380193558365843	88726.46419529739	
8850	-5698.404244333872	-5680.817673204861	-17.586571129011055	0.9128744801222028	6.543290283299548	0.009340105158046485	0.011891342238926328	106095.72053088677	
8900	-5698.67025732093	-5682.092204676082	-16.578052644848654	0.8184903597939477	6.552302132237594	0.008723334497216044	0.011473812016852289	109608.43032094005	
8950	-5695.716904680248	-5681.038117386415	-14.678787293833254	0.6252946393578548	6.25144480845875	0.011179206331710623	0.012555252745768106	93590.81772911902	
9000	-5696.716324096316	-5681.719379980254	-14.996944116062096	0.6214944266192128	6.408781284076278	0.01068572014766211	0.01322068024889367	103102.39636170094	
9050	-5697.840356979794	-5682.824077067637	-15.016279912157177	0.38404535985005495	6.408781284076278	0.009884588340845721	0.012570155904425687	105974.36695536165	
9100	-5693.528616808584	-5678.148758467198	-15.379858341386036	0.3466592624272533	6.408835610261735	0.01075166812530419	0.012570155904425687	97427.95069819338	
9150	-5694.587357309689	-5678.300392664441	-16.286964645248318	0.2733778358573684	6.341954676503163	0.01060801080890308	0.012339064143473279	96931.96621052148	
9200	-5697.037152712379	-5680.374851733318	-16.662300979060884	0.26139082550550513	6.341954676503163	0.011889008932972808	0.012798016331294643	89704.81618391257	
9250	-5697.807897648299	-5679.856407944336	-17.951489703963357	0.22536741294048235	6.8580122788643045	0.010234876405131297	0.01254109203722179	102110.75949855683	
9300	-5694.822293389661	-5679.513812602067	-15.308480787594059	0.32585349852344403	6.3217987445511765	0.011128202044726407	0.01223544568487566	91624.90666880288	
