Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
25000	-5698.098408299388	-5680.5043640616	-17.594044237787553	0.5135210445194381	7.4227489539328415	0.009128364127613628
25050	-5702.2731761169925	-5680.977302185138	-21.2958739318547	0.6819306909611792	8.023834124139878	0.009248182637847569
25100	-5699.135765522497	-5681.0377520710435	-18.098013451453948	0.4161071454398646	7.630463663523765	0.009248182637847569
25150	-5697.340251715791	-5679.161562300632	-18.178689415158765	0.563281967058901	7.505089797121878	0.008984663869984281
25200	-5696.277484745453	-5679.056377497833	-17.221107247620118	0.6019291249687938	7.161544454732785	0.009081605794822851
25250	-5698.117281756973	-5679.599767676928	-18.517514080044776	0.4003521099607337	7.929318649271877	0.009247666802038186
25300	-5698.957793315776	-5680.41625512033	-18.54153819544634	0.573816396580711	7.7440266429925515	0.010000410461811103
25350	-5696.903563230741	-5681.8937441529415	-15.009819077800305	0.5806130106058476	6.6510063515025895	0.010544229078066944
25400	-5696.848390096528	-5681.689940739396	-15.158449357132426	0.6523785613368612	6.615249441168239	0.010177571686922737
25450	-5698.08534309205	-5681.760448280295	-16.324894811754405	0.6578687390974219	6.999747199485652	0.009934181899837182
25500	-5696.6024365694775	-5681.288285289823	-15.314151279654816	0.8084565340692236	6.323025813040327	0.010802479906917508
25550	-5693.287861851481	-5679.315477201764	-13.972384649716169	0.47323455469888825	6.069401928187604	0.011995899542243196
25600	-5694.4352631107295	-5680.550843448842	-13.88441966188773	0.40986349544615314	5.554215854835917	0.011995899542243196
25650	-5695.439300109814	-5682.17164504038	-13.267655069434493	0.5656961531079939	5.6159869535531435	0.012090349494624588
25700	-5694.0987316359915	-5680.890782759959	-13.207948876032583	0.5433004958182754	4.880906299541155	0.012030475146443505
25750	-5691.402681079412	-5677.994834243552	-13.407846835860312	0.8483124652596089	4.880906299541155	0.014368061717460901
25800	-5693.149362349788	-5678.833928918164	-14.315433431623944	0.6403557683391083	4.22509913771921	0.014368061717460901
25850	-5695.38536736508	-5680.281129067407	-15.104238297673342	1.0660798309496897	5.334018528594527	0.013410728352367491
25900	-5693.71108098691	-5680.554303667816	-13.15677731909345	0.6360688891801852	5.031005948176188	0.013410728352367491
25950	-5694.280936778749	-5680.24618967261	-14.034747106138303	0.9419829871030159	4.80157632956351	0.016194122790364085
26000	-5693.195630028038	-5679.054439662827	-14.141190365211148	0.48661757359173985	6.148392622646861	0.01149196707792353
26050	-5697.0074007464145	-5682.385221154156	-14.622179592258341	0.4224300753350944	6.308772827408745	0.011275904122992793
26100	-5697.384022159698	-5682.807922180416	-14.576099979281945	0.4094769343890056	6.179283300133448	0.012116933447464473
26150	-5696.458582300079	-5682.7246978815565	-13.73388441852273	0.49135687559574787	5.846500052162089	0.01238055986557147
26200	-5694.80062021739	-5681.030199025268	-13.770421192121919	0.4993620014867838	5.846500052162089	0.012481722419870247
26250	-5694.457649187964	-5680.54691716576	-13.910732022204343	0.48591641772818345	6.048626363997387	0.010518943253511465
26300	-5695.924783645583	-5681.909203538742	-14.015580106841409	0.48826279528623956	6.127216733696237	0.010770878763600156
26350	-5698.293362039054	-5683.018209175313	-15.275152863741177	0.34061101049509784	6.329924342500262	0.011676349929238229
26400	-5697.871512125471	-5682.746091717937	-15.125420407533932	0.5290950362920602	6.6231615628647305	0.011676349929238229
26450	-5695.34570106417	-5681.714029634193	-13.631671429976667	0.4287641624586286	5.543877343948085	0.010263417621214148
26500	-5696.853904682484	-5682.840803002669	-14.013101679815229	0.39526358729151917	5.831719292925543	0.010263417621214148
26550	-5699.837126199474	-5683.552264381096	-16.284861818378133	0.8928117845624108	6.431411892066234	0.009009442601272349
26600	-5698.18587998127	-5684.67469470741	-13.511185273860047	0.4452997959533796	5.436014301961735	0.011206687182459079
26650	-5696.926769662068	-5683.924569966874	-13.002199695194546	0.6029892266764031	5.4404853605214045	0.011144041899424674
26700	-5696.211295546835	-5682.183649688422	-14.027645858413052	0.480677416764432	6.176062896710546	0.010140067866651557
26750	-5694.946756496452	-5681.091691141179	-13.855065355273158	0.473309995109415	5.821772633864759	0.010518822771164
26800	-5695.5869523103665	-5680.903825619196	-14.683126691170676	0.479506118760333	6.411092666819533	0.011162488497350541
26850	-5696.276140108591	-5680.456732280147	-15.819407828444252	0.2994621403925201	6.360712834697616	0.010439739249639098
26900	-5695.506765992507	-5680.670114040792	-14.836651951714714	0.7562040072035335	6.20606235663486	0.009967515986626842
26950	-5694.322030977547	-5680.901337989126	-13.420692988421411	0.5431036878656694	5.773309474941633	0.010529296972592573
27000	-5694.405773979216	-5680.391626006768	-14.014147972447802	0.7317192039081172	5.798219929876483	0.011104871506965324
27050	-5699.608993109387	-5682.931297885267	-16.677695224119372	0.9125250579919894	6.387638952437776	0.009927316112834704
27100	-5699.696252446057	-5683.632534522007	-16.063717924050547	0.680911732480144	6.750982512555629	0.009974509932170292
27150	-5700.806880659512	-5686.327357544356	-14.479523115155276	0.680911732480144	6.157846992966463	0.01065820221388367
27200	-5701.487458933546	-5686.066161829163	-15.421297104382749	0.5067267171007129	6.752314938157938	0.010558601730629948
27250	-5701.241705840269	-5686.569171204209	-14.672534636059709	0.5070374837847768	6.425472426608318	0.010558601730629948
27300	-5697.924867834694	-5680.982913741929	-16.94195409276513	0.6903180907559211	6.980627364774721	0.009660363054228335
27350	-5694.354155595155	-5679.554953871961	-14.79920172319467	0.41263850236214644	6.399284974227767	0.009660363054228335
27400	-5695.662998409883	-5681.193912579261	-14.469085830620852	0.4314680828601313	6.360932686965186	0.008297864014044809
27450	-5695.66979215282	-5679.910467046506	-15.759325106314634	0.6513414065063411	6.747340057511755	0.008437394135037371
27500	-5694.706030301182	-5680.61357048882	-14.092459812361707	0.41176163856585507	6.056266274409554	0.00855385089986249
27550	-5693.302152556851	-5679.0324364688395	-14.269716088011634	0.7468053046632996	5.977398160731113	0.009076245986166895
27600	-5692.484010843516	-5679.3911198139995	-13.092891029516537	0.5931143797015505	5.425972222944039	0.009888215664108779
27650	-5693.262354663168	-5679.8793899223365	-13.38296474083098	0.661099497275346	5.6756851788952885	0.009589739866646237
27700	-5694.599307696986	-5680.1517138855825	-14.447593811403802	0.4055598700605207	6.210803653416372	0.009292559746293491
27750	-5697.1713990391445	-5678.9487938930515	-18.222605146092747	0.5666710160037575	7.658645377834623	0.007976256709092903
