P1	P2	P3	Dstatistic	p-value
neobri	neogra	neomar	0.0322799	0.0486464
neogra	neooli	neobri	0.0506068	0.0140177
neopul	neobri	neogra	0.0810629	0.000123168
neosav	neogra	neobri	0.134483	6.78883e-07
neogra	neobri	neowal	0.0136845	0.220007
neogra	neobri	telvit	0.0158986	0.072614
neohel	neobri	neomar	0.0314756	0.0327571
neohel	neobri	neooli	0.0494775	0.000661541
neopul	neobri	neohel	0.0818814	7.84962e-05
neohel	neobri	neosav	0.0103334	0.315018
neohel	neobri	neowal	0.0265106	0.134156
neohel	neobri	telvit	0.0288565	0.0303603
neobri	neooli	neomar	0.00631635	0.357576
neobri	neopul	neomar	0.00193571	0.459244
neomar	neosav	neobri	0.0332826	0.0734776
neomar	neobri	neowal	0.0250574	0.147431
neomar	neobri	telvit	0.0727194	8.4991e-09
neobri	neooli	neopul	0.0562092	0.068139
neooli	neobri	neosav	0.0510127	0.000204509
neooli	neobri	neowal	0.0467838	0.00912578
neooli	neobri	telvit	0.0330787	0.00391456
neobri	neopul	neosav	0.0201343	0.118103
neobri	neopul	neowal	0.00268023	0.433242
neopul	neobri	telvit	0.0228487	0.0164474
neosav	neobri	neowal	0.00344962	0.420613
neosav	neobri	telvit	0.00815187	0.316472
telvit	neowal	neobri	0.0430144	0.0182253
neocra	neochi	neocan	0.025347	0.0930777
neogra	neochi	neocan	0.0165444	0.203938
neohel	neochi	neocan	0.0226231	0.133549
neomar	neochi	neocan	0.0364444	0.00386206
neooli	neochi	neocan	0.0255177	0.101243
neopul	neochi	neocan	0.016646	0.153969
neosav	neochi	neocan	0.0068776	0.356029
neowal	neochi	neocan	0.0301529	0.0421223
neochi	neocan	telvit	0.0849642	0.0324609
neocra	neogra	neocan	0.0197276	0.0932906
neohel	neocra	neocan	0.00115702	0.473043
neomar	neocra	neocan	0.0275313	0.0353816
neocra	neooli	neocan	0.00349998	0.409391
neocra	neopul	neocan	0.0123	0.221388
neocra	neosav	neocan	0.0222658	0.0186297
neocra	neowal	neocan	0.000678084	0.48618
neocra	neocan	telvit	0.0997335	0.0141387
neohel	neogra	neocan	0.0190746	0.142765
neomar	neogra	neocan	0.042585	0.00179799
neooli	neogra	neocan	0.0140375	0.185894
neopul	neogra	neocan	0.00489286	0.388063
neogra	neosav	neocan	0.00282765	0.424977
neowal	neogra	neocan	0.00654276	0.356771
neogra	neocan	telvit	0.0975359	0.0066576
neomar	neohel	neocan	0.0322407	0.0180965
neooli	neohel	neocan	0.0041146	0.406075
neohel	neopul	neocan	0.0143455	0.132145
neohel	neosav	neocan	0.019427	0.102063
neohel	neowal	neocan	0.00656598	0.374519
neohel	neocan	telvit	0.0917523	0.0197117
neomar	neooli	neocan	0.0244926	0.0664731
neomar	neopul	neocan	0.0333448	0.0189221
neomar	neosav	neocan	0.0451145	0.00129388
neomar	neowal	neocan	0.0149203	0.147622
neomar	neocan	telvit	0.115229	0.00266957
neooli	neopul	neocan	0.0207001	0.092099
neooli	neosav	neocan	0.0316955	0.00865321
neooli	neowal	neocan	0.00337164	0.424556
neooli	neocan	telvit	0.0995535	0.00577649
neopul	neosav	neocan	0.0128558	0.162758
neowal	neopul	neocan	0.0118023	0.276121
neopul	neocan	telvit	0.0865395	0.0158814
neowal	neosav	neocan	0.0151167	0.183443
neosav	neocan	telvit	0.0787378	0.0504417
neowal	neocan	telvit	0.108257	0.00960593
neocra	neogra	neochi	0.00802365	0.326481
neohel	neocra	neochi	0.00953542	0.238369
neocra	neomar	neochi	0.00242073	0.450284
neooli	neocra	neochi	0.0240199	0.0371334
neocra	neopul	neochi	0.00919696	0.32666
neocra	neosav	neochi	0.0121578	0.271898
neowal	neochi	neocra	0.0163956	0.215808
neocra	neochi	telvit	0.00191579	0.448784
neohel	neogra	neochi	0.0190803	0.135927
neomar	neogra	neochi	0.00815101	0.363851
neooli	neogra	neochi	0.0320178	0.0858123
neopul	neogra	neochi	0.000839151	0.477638
neogra	neosav	neochi	0.00867553	0.306656
neowal	neochi	neogra	0.00745925	0.377288
neochi	neogra	telvit	0.00945431	0.260215
neohel	neomar	neochi	0.00494478	0.379393
neooli	neohel	neochi	0.0142687	0.235817
neohel	neopul	neochi	0.0229709	0.196943
neohel	neosav	neochi	0.016036	0.107582
neowal	neochi	neohel	0.0284395	0.0321726
neochi	neohel	telvit	0.00372917	0.363203
neooli	neomar	neochi	0.0221508	0.203616
neomar	neopul	neochi	0.00774671	0.356988
neomar	neosav	neochi	0.00868818	0.290867
neowal	neochi	neomar	0.0223918	0.132281
neomar	neochi	telvit	0.0222173	0.0784413
neooli	neopul	neochi	0.0516693	0.0147589
neooli	neosav	neochi	0.0346331	0.0557737
neowal	neochi	neooli	0.0209969	0.191281
neooli	neochi	telvit	0.00422214	0.399059
neopul	neosav	neochi	0.00136335	0.473481
neowal	neochi	neopul	0.0126896	0.297777
neochi	neopul	telvit	0.00973607	0.241753
neowal	neochi	neosav	0.0162417	0.175014
neochi	neosav	telvit	0.0143439	0.124094
neowal	neochi	telvit	0.0278146	0.0384374
neocra	neogra	neohel	0.00397035	0.423083
neomar	neocra	neogra	0.115033	3.88917e-07
neogra	neooli	neocra	0.00483345	0.402671
neocra	neopul	neogra	0.0123737	0.198852
neogra	neocra	neosav	0.00493307	0.386316
neogra	neocra	neowal	0.00276808	0.433425
neocra	neogra	telvit	0.0240119	0.0777281
neohel	neomar	neocra	0.186495	4.56123e-09
neooli	neohel	neocra	0.0234811	0.0727556
neohel	neopul	neocra	0.0486754	0.00554844
neosav	neocra	neohel	0.108822	6.70575e-14
neohel	neocra	neowal	0.0178783	0.133862
neocra	neohel	telvit	0.00251657	0.435984
neomar	neocra	neooli	0.156569	8.52407e-12
neopul	neomar	neocra	0.160775	4.52036e-05
neomar	neocra	neosav	0.101968	2.79167e-05
neomar	neocra	neowal	0.00880553	0.300921
neomar	neocra	telvit	0.0433272	0.00962647
neooli	neopul	neocra	0.0921654	1.08326e-07
neocra	neooli	neosav	0.0694518	0.00298074
neooli	neocra	neowal	0.033105	0.0111202
