P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S00	S05	S13	0.0286579	1.58119	0.0569173	0.000797905	20127.8	2889.5	2728.5
S00	S05	S14	0.0264329	1.51667	0.0646753	0.000734897	20147	2883.25	2734.75
S00	S05	S15	0.027451	1.58774	0.0561721	0.000761273	20138	2882	2728
S00	S05	S16	0.0260157	1.47644	0.0699126	0.000716925	20147.5	2879	2733
S00	S05	S17	0.0276145	1.56474	0.0588221	0.000769504	20143.8	2884	2729
S00	S05	S18	0.0274412	1.5568	0.0597586	0.000761808	20142	2883	2729
S00	S05	S19	0.0274412	1.5568	0.0597586	0.000762553	20140.5	2883	2729
S06	S07	S00	0.310345	1.91015	0.0280569	4.87219e-05	123949	19	10
S00	S06	S08	0.00694475	0.359326	0.359676	0.000193675	20082.5	2845.5	2806.25
S00	S06	S09	0.0177265	0.801535	0.211411	0.00048772	20160	2834.75	2736
S00	S06	S10	0.00777398	0.392204	0.347454	0.000215449	20044	2835.75	2792
S00	S06	S11	0.0209531	0.974426	0.164923	0.000585357	20178.2	2887	2768.5
S00	S06	S12	0.0143955	0.883198	0.188565	0.000400436	20172.2	2871.5	2790
S00	S06	S13	0.0270511	1.50555	0.0660916	0.00075276	20117.5	2885.5	2733.5
S00	S06	S14	0.0248265	1.43725	0.0753229	0.000690963	20136.8	2879.25	2739.75
S00	S06	S15	0.0258421	1.50767	0.0658199	0.000716539	20127.8	2878	2733
S00	S06	S16	0.0244076	1.39757	0.0811206	0.000673191	20137.2	2875	2738
S00	S06	S17	0.0260064	1.48688	0.0685229	0.000724284	20133.5	2880	2734
S00	S06	S18	0.0258329	1.47885	0.0695906	0.000717148	20131.8	2879	2734
S00	S06	S19	0.0258329	1.47885	0.0695906	0.000718401	20130.2	2879	2734
S00	S07	S08	0.0076525	0.401065	0.344186	0.000213365	20089.5	2847.5	2804.25
S00	S07	S09	0.0187968	0.86141	0.194506	0.000517315	20167	2838.75	2734
S00	S07	S10	0.00848474	0.431419	0.333082	0.00023519	20051	2837.75	2790
S00	S07	S11	0.0221869	1.03065	0.151352	0.000619969	20184.2	2891	2765.5
S00	S07	S12	0.0154553	0.946103	0.172048	0.000430013	20178.2	2874.5	2787
S00	S07	S13	0.0281089	1.56442	0.0588598	0.000782207	20124.5	2889.5	2731.5
S00	S07	S14	0.0258851	1.49912	0.0669214	0.000721031	20143.8	2883.25	2737.75
S00	S07	S15	0.0269018	1.57056	0.0581426	0.000746709	20134.8	2882	2731
S00	S07	S16	0.0254675	1.45945	0.0722206	0.000702477	20144.2	2879	2736
S00	S07	S17	0.0270655	1.54876	0.0607196	0.000754082	20140.5	2884	2732
S00	S07	S18	0.0268923	1.54077	0.0616865	0.000746502	20138.8	2883	2732
S00	S07	S19	0.0268923	1.54077	0.0616865	0.000747502	20137.2	2883	2732
S09	S08	S00	0.0583588	2.12733	0.0166962	0.000731358	34156.8	1339.75	1192
S08	S10	S00	0.00969128	0.351202	0.362718	0.000120067	34348.6	1263.25	1239
S11	S08	S00	0.0204896	1.13149	0.128924	0.000661042	17587.5	3324.5	3191
S12	S08	S00	0.0161733	1.00149	0.158294	0.000524554	17582.2	3330	3224
S13	S08	S00	0.0167633	0.890684	0.186549	0.000533497	17621.2	3267.75	3160
S14	S08	S00	0.0188062	1.0441	0.148219	0.000597748	17615.8	3270.75	3150
S15	S08	S00	0.0184579	1.04384	0.14828	0.000587128	17626.2	3269.25	3150.75
S16	S08	S00	0.0191903	1.04576	0.147835	0.000608768	17625.5	3266.25	3143.25
S17	S08	S00	0.0191866	1.05845	0.144926	0.000610004	17618	3273.5	3150.25
S18	S08	S00	0.0189193	1.05008	0.146841	0.000601482	17618.5	3271.75	3150.25
S19	S08	S00	0.0186901	1.03748	0.149755	0.000594131	17618.2	3270.25	3150.25
S09	S10	S00	0.0700326	4.84352	6.3781e-07	0.000851209	34333.5	1314	1142
S09	S11	S00	0.00220324	0.112289	0.455297	7.05109e-05	17621.5	3241	3226.75
S09	S12	S00	0.00639969	0.437004	0.331054	0.000206605	17619	3282.75	3241
S09	S13	S00	0.0062315	0.367619	0.356579	0.000198018	17654.2	3229.5	3189.5
S09	S14	S00	0.00421217	0.254409	0.39959	0.000133648	17644.8	3218.5	3191.5
S09	S15	S00	0.00456372	0.280347	0.389606	0.000144797	17645.5	3219.25	3190
S09	S16	S00	0.00386432	0.22935	0.409298	0.000122551	17645.8	3214.75	3190
S09	S17	S00	0.00382156	0.230956	0.408675	0.000121181	17645	3217.75	3193.25
S09	S18	S00	0.00409692	0.248688	0.401801	0.000129951	17646.5	3216.75	3190.5
S09	S19	S00	0.00433069	0.262214	0.396578	0.000137359	17645.5	3217.75	3190
S11	S10	S00	0.0243601	1.21145	0.112861	0.000780782	17615.2	3316.75	3159
S12	S10	S00	0.0200084	1.43728	0.0753187	0.000644708	17724.2	3320	3189.75
S13	S10	S00	0.0208366	1.17708	0.119582	0.00065328	17759	3233.5	3101.5
S14	S10	S00	0.0228707	1.35654	0.0874631	0.000718184	17751.5	3242.5	3097.5
S15	S10	S00	0.0225327	1.35516	0.0876833	0.000706162	17757.2	3239	3096.25
S16	S10	S00	0.0232668	1.34921	0.0886343	0.000729052	17764.5	3238	3090.75
S17	S10	S00	0.0232981	1.37368	0.0847705	0.000730304	17752.8	3239.25	3091.75
S18	S10	S00	0.023028	1.36067	0.0868094	0.000721706	17755.2	3237.5	3091.75
S19	S10	S00	0.0227892	1.34376	0.0895134	0.000714036	17754	3237	3092.75
S11	S12	S00	0.00649888	0.249886	0.401338	0.000136215	25315.2	2129.5	2102
S11	S13	S00	0.00616951	0.260246	0.397337	0.000127441	25286.8	2099.75	2074
S11	S14	S00	0.00304314	0.133813	0.446775	6.31279e-05	25304	2101.25	2088.5
S11	S15	S00	0.00357143	0.158151	0.437169	7.42266e-05	25305.8	2107.5	2092.5
S11	S16	S00	0.0024997	0.108513	0.456794	5.19856e-05	25323.2	2105.5	2095
S11	S17	S00	0.00244033	0.106325	0.457662	5.07489e-05	25318.2	2105.25	2095
S11	S18	S00	0.00286055	0.125235	0.450169	5.94089e-05	25315.2	2103.5	2091.5
S11	S19	S00	0.00321927	0.140759	0.44403	6.68105e-05	25316	2103.5	2090
S13	S12	S00	0.00166627	0.0381527	0.484783	8.66675e-06	51275.5	526	524.25
S14	S12	S00	0.0144219	0.329689	0.370817	7.30591e-05	51335.2	518.75	504
S15	S12	S00	0.0120598	0.296474	0.383434	6.18919e-05	51267.5	524.5	512
S16	S12	S00	0.0163619	0.371124	0.355273	8.41361e-05	51302.5	528	511
S17	S12	S00	0.0166065	0.383224	0.350777	8.53716e-05	51279	528	510.75
S18	S12	S00	0.0149976	0.344226	0.365338	7.6727e-05	51272.8	524.5	509
S19	S12	S00	0.0135397	0.309288	0.378551	6.92965e-05	51267	524	510
S14	S13	S00	0.074928	0.958481	0.16891	6.43331e-05	88276.2	93.25	80.25
S15	S13	S00	0.0670827	0.749931	0.226648	5.32466e-05	88233	85.5	74.75
S16	S13	S00	0.0976	1.37532	0.0845161	7.54911e-05	88297	85.75	70.5
S17	S13	S00	0.0919881	1.31818	0.0937212	7.67275e-05	88248	92	76.5
S18	S13	S00	0.0819672	1.2008	0.114914	6.80346e-05	88162	90.75	77
S19	S13	S00	0.0732436	1.07463	0.14127	6.06744e-05	88154.2	89.75	77.5
S14	S15	S00	0.0520231	0.27684	0.390951	1.11401e-05	112610	22.75	20.5
S16	S14	S00	0.0514286	0.275543	0.39145	1.114e-05	112645	23	20.75
S17	S14	S00	0.0510204	0.307171	0.379357	1.23808e-05	112500	25.75	23.25
S18	S14	S00	0.0162162	0.0891477	0.464482	3.70936e-06	112415	23.5	22.75
S14	S19	S00	0.0163934	0.091377	0.463597	3.71539e-06	112404	23.25	22.5
S16	S15	S00	0.0857143	0.478233	0.316242	2.22686e-05	115326	28.5	24
S17	S15	S00	0.125828	0.652974	0.256887	2.35093e-05	115039	21.25	16.5
S18	S15	S00	0.0731707	0.38772	0.349112	1.48521e-05	114981	22	19
