P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S00	S05	S17	0.00633619	0.199862	0.420794	8.40337e-05	33468.5	1350	1333
S00	S05	S18	0.00948837	0.291748	0.38524	0.00012582	33453	1356.5	1331
S00	S05	S19	0.00892857	0.274746	0.391756	0.000118245	33452.5	1356	1332
S06	S07	S00	0.109788	1.58378	0.0566219	0.000244054	70054.2	209.75	168.25
S06	S08	S00	0.00856913	0.508157	0.305672	0.000282383	19873.6	2824.75	2776.75
S00	S06	S09	0.00304176	0.219794	0.413016	0.00016268	11451.5	4740.25	4711.5
S00	S06	S10	0.00747353	0.519174	0.30182	0.000399977	11424.5	4768.75	4698
S00	S06	S11	0.0079038	0.505115	0.306739	0.000391913	15086.4	4196.25	4130.44
S06	S00	S12	0.510466	17.1296	0	0.0157385	30972.5	4185.5	1356.5
S06	S00	S13	0.553812	27.5479	0	0.0162398	30505.8	4555	1308
S14	S00	S06	0.916694	315.935	0	0.125941	27847.6	25757.2	1119.5
S06	S00	S15	0.563892	29.072	0	0.0168917	30502.5	4669	1302
S06	S00	S16	0.566963	29.681	0	0.0170355	30485	4693.25	1297
S00	S06	S17	0.000467683	0.0142933	0.494298	6.17901e-06	33415.5	1337	1335.75
S00	S06	S18	0.00382356	0.11689	0.453474	5.05709e-05	33401.5	1345.5	1335.25
S00	S06	S19	0.00307635	0.0939147	0.462588	4.06663e-05	33401.5	1345	1336.75
S07	S08	S00	0.00116791	0.0794096	0.468353	3.82327e-05	19934.2	2786	2779.5
S00	S07	S09	0.00707229	0.532724	0.297112	0.000377683	11467.2	4752.5	4685.75
S00	S07	S10	0.0116184	0.845369	0.198952	0.000620413	11436.2	4778	4668.25
S00	S07	S11	0.0127511	0.85118	0.197335	0.000631541	15101	4209.5	4103.5
S07	S00	S12	0.508262	16.6485	0	0.0156657	31004.5	4176	1361.5
S07	S00	S13	0.5506	27.5579	0	0.016116	30529.5	4537.25	1315
S14	S00	S07	0.916296	333.41	0	0.126204	27821.4	25772.5	1125.75
S07	S00	S15	0.561166	29.3605	0	0.0167946	30528.2	4653.25	1308
S07	S00	S16	0.563728	29.9797	0	0.0169183	30510.8	4677.5	1305
S00	S07	S17	0.00526712	0.159589	0.436603	6.91632e-05	33443.2	1336	1322
S00	S07	S18	0.00843803	0.257933	0.398229	0.000110957	33429.8	1344.5	1322
